Name,Address,Link,Review
Favorites, 141‭ ‬Ossington Ave‭.,myfavethai.com,"['The entrance—at the back of a coffee shop, through a shadowy corridor of metal mesh walls—takes some sleuthing. The house specialty is the Thai miracle combo of sour, briny and charred. If you’re looking for pad Thai, keep looking. Days after my first visit, I was still daydreaming about a snack of shrimp, peanuts and a fish sauce, tamarind and galangal dressing, wrapped in a fresh betel leaf. How did they pack so much mighty flavour into something so tiny? Same question about the fresh-shucked oysters funked up with fish sauce and flecks of garlic chips, about a dip of pork and shrimp paste that beats the best bolognese, and especially about the vertiginous smoky depths of a red curry with P.E.I. scallops. And once I got past my omigod-omigod-omigod panic sweats, I had to admit the octopus with banana blossoms, chunks of pomelo and an unholy dose of bird’s-eye chili was absolutely terrific, too.', 'I went back to Favorites five times in the next two months, including for a ridiculously extravagant, 10-course New Year’s Eve dinner that ended with a jam jar of black rice pudding and passion fruit. Simple though it was, it managed to be the most delicious part of the night, and seemed to put everything—Russian hypersonic missiles, Saved by the Bell reboots, life—in perspective. Yes, we had a lot to drink. And I might be a little obsessed with Favorites, but it’s justified. It’s run by three of the city’s most innovative restaurateurs: Monte Wan of the Thai street food spots Khao San Road and Nana, and Jesse Fader and Jonathan Poon of the casually perfectionist hangouts Bar Fancy, Superpoint and Paris Paris. By hiring the chef Haan Palcu-Chang to run Favorites, they’ve levelled up.', 'Palcu-Chang is new to Toronto restaurants, even though he’s from here. He’s 35 and grew up in the Beaches, son of a Romanian mother and a Taiwanese father. After chef school, he cooked in progressively more high-flying kitchens in Vancouver and Europe, including the Thai upstarts Maenam and Kiin Kiin. For a few minutes, he returned to Toronto to work for Grant van Gameren at Enoteca Sociale, and to run a series of pop-ups called Farang Ki Nok (a Thai phrase for “cheapskate foreigner,” an ironic jab at himself). He spent a year as a Singapore-based restaurant consultant, using every spare weekend for eating tours of Thailand. One day, out of the blue, he received a text message from Poon asking if he’d be interested in coming home.', 'He told me he lives for the long restaurant nights and the pleasure of physical exhaustion. But he’s also one of our most cerebral chefs (before he found his calling, he was about to enter into a graduate program in history), taught Thai cooking at George Brown and talks about his Favorites menu as his manifesto to challenge received notions about Thai food. He’s a disciple of the seasons, prioritizing what’s freshest and grown nearby. What’s freaking a few unsuspecting people out (see the social media jabber about Favorites) is how he magnifies flavours. He’ll spend hours perfecting that seafood curry, slowly reducing coconut cream, frying shrimp paste until it caramelizes, fine-tuning it with palm sugar and tamarind and a glug of fish sauce. A spoonful is guaranteed sensory overload.', 'By the way, he has nothing against pad Thai. They even serve it here, but strictly on Mondays, and it’s off-menu. Perversely, there are only 10 orders available. The night I lucked out, he made it with soft-shell crab. It was pad Thai heaven.']"
Dreyfus, 96 Harbord St.,dreyfustoronto.com,"['Be ready to clap. On any particular day, there will be a happy birthday singalong or suddenly the room will fall into a hush as someone pulls out a ring and proposes. I might be partly to blame, since anytime someone asks me where to take someone for a special but not stupidly fancy dinner (a frequent question, and a hazard of this job), I send them to this note-perfect bistro. Dreyfus pulls off the trick of seeming like it’s been around for ages, between the vintage flowery plates, bentwood chairs packed close together, flickering candles, jazz standards and shelves of curios seemingly pilfered from a Victorian explorer’s private museum. But it’s also wholly original. Zach Kolomeir, the chef and owner, and previously the chef de cuisine at Montreal’s cult favourite Joe Beef, had a specific vision in mind: a restaurant that shows off his personal network of Ontario and Quebec small-scale farmers, cheesemakers and the like, while building on bistro staples with frequent diversions into Jewish deli. The kitchen is small, and he often delivers dishes to your table. He seems to be a friend or soon-to-be-friend of almost everyone in the room, which I recognize as particular to the DNA of Montreal’s restaurants.', 'I’ve taken my own someone special here, too, for what turned out to be one of the most delicious meals I’ve had this year, or any year. We had potato-choux puffs topped with crème fraîche and caviar, skate schnitzel in a lemony grenobloise sauce, slow-roasted squash and pepitas, bite-sized cubano sandwiches made with house-smoked ham and a wafer of pickle, and a peppery rack of Ontario lamb, the last of the night. We drank well, from a list of elusive bottles from natural winemakers in France, Italy and Prince Edward County. And for dessert, despite reaching peak stuffed capacity, we snuck in a plate of sugar-dusted, warm-from-the-oven madeleines. They were better than any birthday cake.']"
Mineral, 1027 Yonge St.,mineralto.com,"['If everything else wasn’t first-rate, I’d still head for this buttoned-down spot just to gawp at the hand-painted murals in gold, silver and midnight black, of bamboo, twisting vines and a tiger sneaking through a bamboo grove. Nowadays, nearly every new restaurant, coffee bar and vape kiosk has custom wall art, but here, combined with deep azure upholstery, an elegant oval bar and the fireshow in the open kitchen, they’re more than just a design statement—they’re at one with the overall mood of being transported to the trendiest restaurant in Manila, which just happens to be neighbour to a midtown Shoppers.']"
Sushi Masaki Saito, 88 Avenue Rd.,masakisaito.ca,"['Five hundred dollars—per person. That gets you three to six bite-size appetizers, like, say, an expertly torched morsel of Spanish mackerel or yuzu-dusted monkfish liver, slow-cooked for three days in red wine and soy until it earns its sobriquet as the foie gras of the sea. Then comes the main event: a dozen pieces of sushi, maybe fluke, Japanese barracuda, needlefish or fatty tuna, all sourced at the Tokyo fish market and presented on seasoned rice at a precisely monitored, still-warm temp. Masaki Saito is one of the few sushi chefs in North America who has mastered the art of edomae—a near-mystical process of partially preserving raw fish and seafood through curing, cooking or salting, to heighten flavour and improve texture. After a bowl of miso soup (so fragrant you’ll fall into a meditative trance) comes a no-less-decadent dessert of a matcha blancmange, its jiggly surface crowned with gold leaf.', 'Is it worth the price? Strictly by frequency of unreal bites per minute, yes. But I’d hazard as many people are drawn here to say they’ve sat in the city’s most exclusive restaurant (the eight-seat counter, reached up a flight of marble stairs, books well in advance) and met the man himself. Unlike his generally taciturn, media-shy peers, Saito arrived in this city in a tornado of hype about his talent (two Michelin stars in New York) and his persona (he’s a proudly unreconstructed playboy and connoisseur of luxury brands). He poses for selfies with customers. His staff tremble at his every word.', 'The exotic seafood, Baccarat water tumblers and gold leaf may add to the impression that you’re toasting the end of the world in a room of James Bond villains. One night, I was seated beside a Polish-Canadian industrialist who ordered two bottles of Burgundy for himself, had just returned from a friend’s Caribbean island, recommended I try pig fetus in Buenos Aires (“you haven’t lived!”) and complained unprompted about Trudeau’s tax policies, which have driven him to move his companies to the U.S. For some, a $500-plus feast is just another Tuesday.']"
Lucia, 1595 Dupont St.,luciatoronto.com,"['A\u2009year after I settled in Parkdale, a small Italian restaurant opened around the corner called Local Kitchen and Wine Bar. It didn’t look like much—the walls were covered in ragged barnboard, you could see the basement through holes in the floor, and every chair and table wobbled—but the pasta, handmade and often inventively stuffed with whatever was in season by a new chef named Fabio Bondi, was awesome. I can’t count the times I’ve eaten there since—it’s my local, in the true sense. And I’m not the only one who loves it, as the room, which acquired even more bric-a-brac over the years, is always packed, the front window steamed over.', 'Last fall, Bondi and co-owner Michael Sangregorio—he’s the jovial front-of-house, as much part of the formula as the food—opened this second trattoria on a block of Dupont that’s becoming a micro–Little Italy, alongside the fantastic Mattachioni pizzeria and bakery. The new room may be sunnier and more polished, but Bondi’s cooking is still pure and proudly rustic, and makes ample use of produce he and Sangregorio grow themselves on a couple of acres in King City (they were early locavores). To start, plump grilled sardines and jammy smoked cherry tomatoes on a thick slice of Mattachioni sourdough. Bondi magically lightens mozzarella-stuffed gnocchi with a grating of orange zest, builds layers of tang and sweetness in a tomato and stewed lamb sauce, and intensifies the butteriness of turbot fillet with a pool of puréed roasted cauliflower. Come summer, there’s a 40-seat side-street patio, the new prime spot to sip an Italian lager and count the advantages of moving nearby.']"
Bar Piquette, 1086 Queen St. W.,barpiquette.com,[]
Osteria Rialto, 1006 Bloor St. W.,osteriarialto.com,"['Dinner and a flick can’t get much better than at the Paradise Cinema, which has been restored to its snazzy, 1930s art moderne glory and upgraded with plush theatre seats, two bars and, reached by the side street, this Basilio Pesce restaurant. He was the secret weapon in the kitchens at Porzia, Canoe and, most recently, Ossington’s francophile playground La Banane. Now he’s turned his attention to the unapologetically heat- and garlic-laced pasta and seafood of southern Italy. If you need one last hurrah before cutting out carbs, make it his pasta with crab. It’s “A.O.P.,” a term you don’t encounter much outside of Sicily, meaning there’s no sauce aside from a good amount of olive oil, garlic mince and chili, plus a sprinkle of parsley. No better way to show off his springy, eggy, hand-cut tagliarini and the fluffy delicacy of Fogo Island snow crab. There are light snacks like crispy arancini stuffed with cuttlefish, or a selection of premium cheeses (he’s got connections, having once served as executive chef of the Cheese Boutique), sharable plates of peppery boar sausage stained mahogany after baking in chianti, root veg so paper-thin you barely notice they’ve been breaded in cornmeal and deep-fried, and always a porterhouse seasoned with salt and rosemary, like they do in Florence. Pesce also had the fine idea to hire Jill Barber, who created many of the extraordinary sweet things at Blackbird Bakery, as exec pastry chef (a rare position in restaurants these days). I’ll be stopping in just for my favourite dessert of the year, a stack of speculoos and honey-flavoured mousse, finished with a half moon of Marcona almond butter and slices of just-ripe fig. It’s so sophisticated, you’d never guess it’s a play on an Instagram-fashionable topping combo for a humble breakfast toast. But, like in the movies, sometimes eating out should be larger than life.']"
The Grand Elvis, 176 Dupont St.,thegrandelvis.com,[]
Maison Selby, 592 Sherbourne St.,maisonselby.com,"['There’s definitely something awkward—unseemly?—about ordering champagne and caviar in a Victorian mansion in the middle of St. James Town, one of the city’s poorest and most densely populated neighbourhoods. But that’s where O&B, the company behind so many of the GTA’s best restaurants (Canoe and Auberge du Pommier among them), took over a three-storey house—at different points a girl’s boarding school and a gay dance club. It’s now swanky enough to be a residence for a pair of unofficial royals, with an abundance of florid wallpapers and crystal chandeliers that set the tone for traditionally executed tartare, French onion soup, boeuf bourguignon and other typical bistro fare. John Horne, who oversees Canoe and O&B’s other top-tier kitchens, is exec chef. Everything is perfect and polished, including the presentation of said caviar, from wild-caught East Coast sturgeon, the tin resting on a bed of ice and accompanied by buckwheat blini, chopped egg and crème fraîche. Each salty, sybaritic spoonful feels like a step closer to class warfare.', 'Maison Selby, 592 Sherbourne St., maisonselby.com']"
Ten, 1132 College St.,10restaurant.ca,[]
