Ranking,Title,Song Link,Artist(s),Artist Links
1,Old Town Road,/wiki/Old_Town_Road,"['Lil Nas X', 'Billy Ray Cyrus']","['/wiki/Lil_Nas_X', '/wiki/Billy_Ray_Cyrus']"
2,Sunflower,/wiki/Sunflower_(Post_Malone_and_Swae_Lee_song),"['Post Malone', 'Swae Lee']","['/wiki/Post_Malone', '/wiki/Swae_Lee']"
3,Without Me,/wiki/Without_Me_(Halsey_song),['Halsey'],['/wiki/Halsey_(singer)']
4,Bad Guy,/wiki/Bad_Guy_(Billie_Eilish_song),['Billie Eilish'],['/wiki/Billie_Eilish']
5,Wow,/wiki/Wow_(Post_Malone_song),['Post Malone'],['/wiki/Post_Malone']
6,Happier,/wiki/Happier_(Marshmello_and_Bastille_song),"['Marshmello', 'Bastille']","['/wiki/Marshmello', '/wiki/Bastille_(band)']"
7,7 Rings,/wiki/7_Rings,['Ariana Grande'],['/wiki/Ariana_Grande']
8,Talk,/wiki/Talk_(Khalid_song),['Khalid'],['/wiki/Khalid_(singer)']
9,Sicko Mode,/wiki/Sicko_Mode,['Travis Scott'],['/wiki/Travis_Scott']
10,Sucker,/wiki/Sucker_(song),['Jonas Brothers'],['/wiki/Jonas_Brothers']
11,High Hopes,/wiki/High_Hopes_(Panic!_at_the_Disco_song),['Panic! at the Disco'],['/wiki/Panic!_at_the_Disco']
12,"Thank U, Next","/wiki/Thank_U,_Next_(song)",['Ariana Grande'],['/wiki/Ariana_Grande']
13,Truth Hurts,/wiki/Truth_Hurts_(song),['Lizzo'],['/wiki/Lizzo']
14,Dancing with a Stranger,/wiki/Dancing_with_a_Stranger,"['Sam Smith', 'Normani']","['/wiki/Sam_Smith', '/wiki/Normani']"
15,Señorita,/wiki/Se%C3%B1orita_(Shawn_Mendes_and_Camila_Cabello_song),"['Shawn Mendes', 'Camila Cabello']","['/wiki/Shawn_Mendes', '/wiki/Camila_Cabello']"
16,I Don't Care,/wiki/I_Don%27t_Care_(Ed_Sheeran_and_Justin_Bieber_song),"['Ed Sheeran', 'Justin Bieber']","['/wiki/Ed_Sheeran', '/wiki/Justin_Bieber']"
17,Eastside,/wiki/Eastside_(song),"['Benny Blanco', 'Halsey', 'Khalid']","['/wiki/Benny_Blanco', '/wiki/Halsey_(singer)', '/wiki/Khalid_(singer)']"
18,Going Bad,/wiki/Going_Bad,"['Meek Mill', 'Drake']","['/wiki/Meek_Mill', '/wiki/Drake_(musician)']"
19,Shallow,/wiki/Shallow_(Lady_Gaga_and_Bradley_Cooper_song),"['Lady Gaga', 'Bradley Cooper']","['/wiki/Lady_Gaga', '/wiki/Bradley_Cooper']"
20,Better,/wiki/Better_(Khalid_song),['Khalid'],['/wiki/Khalid_(singer)']
21,No Guidance,/wiki/No_Guidance,"['Chris Brown', 'Drake']","['/wiki/Chris_Brown', '/wiki/Drake_(musician)']"
22,Girls Like You,/wiki/Girls_Like_You,"['Maroon 5', 'Cardi B']","['/wiki/Maroon_5', '/wiki/Cardi_B']"
23,Sweet but Psycho,/wiki/Sweet_but_Psycho,['Ava Max'],['/wiki/Ava_Max']
24,Suge,/wiki/Suge_(song),['DaBaby'],['/wiki/DaBaby']
25,Middle Child,/wiki/Middle_Child_(song),['J. Cole'],['/wiki/J._Cole']
26,Drip Too Hard,/wiki/Drip_Too_Hard,"['Lil Baby', 'Gunna']","['/wiki/Lil_Baby', '/wiki/Gunna_(rapper)']"
27,Someone You Loved,/wiki/Someone_You_Loved,['Lewis Capaldi'],['/wiki/Lewis_Capaldi']
28,Ransom,/wiki/Ransom_(Lil_Tecca_song),['Lil Tecca'],['/wiki/Lil_Tecca']
29,If I Can't Have You,/wiki/If_I_Can%27t_Have_You_(Shawn_Mendes_song),['Shawn Mendes'],['/wiki/Shawn_Mendes']
30,Goodbyes,/wiki/Goodbyes_(Post_Malone_song),"['Post Malone', 'Young Thug']","['/wiki/Post_Malone', '/wiki/Young_Thug']"
31,Zeze,/wiki/Zeze_(song),"['Kodak Black', 'Travis Scott', 'Offset']","['/wiki/Kodak_Black', '/wiki/Travis_Scott', '/wiki/Offset_(rapper)']"
32,Better Now,/wiki/Better_Now,['Post Malone'],['/wiki/Post_Malone']
33,Youngblood,/wiki/Youngblood_(5_Seconds_of_Summer_song),['5 Seconds of Summer'],['/wiki/5_Seconds_of_Summer']
34,Money in the Grave,/wiki/Money_in_the_Grave,"['Drake', 'Rick Ross']","['/wiki/Drake_(musician)', '/wiki/Rick_Ross']"
35,Speechless,/wiki/Speechless_(Dan_%2B_Shay_song),['Dan + Shay'],['/wiki/Dan_%2B_Shay']
36,"Break Up with Your Girlfriend, I'm Bored","/wiki/Break_Up_with_Your_Girlfriend,_I%27m_Bored",['Ariana Grande'],['/wiki/Ariana_Grande']
37,Please Me,/wiki/Please_Me,"['Cardi B', 'Bruno Mars']","['/wiki/Cardi_B', '/wiki/Bruno_Mars']"
38,Money,/wiki/Money_(Cardi_B_song),['Cardi B'],['/wiki/Cardi_B']
39,You Need to Calm Down,/wiki/You_Need_to_Calm_Down,['Taylor Swift'],['/wiki/Taylor_Swift']
40,Panini,/wiki/Panini_(song),['Lil Nas X'],['/wiki/Lil_Nas_X']
41,Look Back at It,/wiki/Look_Back_at_It,['A Boogie wit da Hoodie'],['/wiki/A_Boogie_wit_da_Hoodie']
42,A Lot,/wiki/A_Lot_(song),['21 Savage'],['/wiki/21_Savage']
43,Me!,/wiki/Me!,"['Taylor Swift', 'Brendon Urie']","['/wiki/Taylor_Swift', '/wiki/Brendon_Urie']"
44,Mia,/wiki/Mia_(Bad_Bunny_song),"['Bad Bunny', 'Drake']","['/wiki/Bad_Bunny', '/wiki/Drake_(musician)']"
45,Pop Out,/wiki/Pop_Out,"['Polo G', 'Lil Tjay']","['/wiki/Polo_G', '/wiki/Lil_Tjay']"
46,Beautiful Crazy,/wiki/Beautiful_Crazy,['Luke Combs'],['/wiki/Luke_Combs']
47,Thotiana,/wiki/Thotiana,['Blueface'],['/wiki/Blueface']
48,Lucid Dreams,/wiki/Lucid_Dreams_(Juice_Wrld_song),['Juice Wrld'],['/wiki/Juice_Wrld']
49,Mo Bamba,/wiki/Mo_Bamba_(song),['Sheck Wes'],['/wiki/Sheck_Wes']
50,Beautiful People,/wiki/Beautiful_People_(Ed_Sheeran_song),"['Ed Sheeran', 'Khalid']","['/wiki/Ed_Sheeran', '/wiki/Khalid_(singer)']"
51,Wake Up in the Sky,/wiki/Wake_Up_in_the_Sky,"['Gucci Mane', 'Bruno Mars', 'Kodak Black']","['/wiki/Gucci_Mane', '/wiki/Bruno_Mars', '/wiki/Kodak_Black']"
52,Whiskey Glasses,/wiki/Whiskey_Glasses,['Morgan Wallen'],['/wiki/Morgan_Wallen']
53,God's Country,/wiki/God%27s_Country_(Blake_Shelton_song),['Blake Shelton'],['/wiki/Blake_Shelton']
54,Be Alright,/wiki/Be_Alright_(Dean_Lewis_song),['Dean Lewis'],['/wiki/Dean_Lewis']
55,Pure Water,/wiki/Pure_Water_(Mustard_and_Migos_song),"['Mustard', 'Migos']","['/wiki/Mustard_(record_producer)', '/wiki/Migos']"
56,The Git Up,/wiki/The_Git_Up,['Blanco Brown'],['/wiki/Blanco_Brown']
57,Taki Taki,/wiki/Taki_Taki_(song),"['DJ Snake', 'Selena Gomez', 'Ozuna', 'Cardi B']","['/wiki/DJ_Snake', '/wiki/Selena_Gomez', '/wiki/Ozuna_(singer)', '/wiki/Cardi_B']"
58,Close to Me,"/wiki/Close_to_Me_(Ellie_Goulding,_Diplo_and_Swae_Lee_song)","['Ellie Goulding', 'Diplo', 'Swae Lee']","['/wiki/Ellie_Goulding', '/wiki/Diplo', '/wiki/Swae_Lee']"
59,Envy Me,/wiki/Envy_Me,['Calboy'],['/wiki/Calboy']
60,You Say,/wiki/You_Say,['Lauren Daigle'],['/wiki/Lauren_Daigle']
